เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน
'0105523007276,บริษัท ไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด,"PIONEER HI-BRED (THAILAND) CO., LTD.",ผลิตเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง จำหน่ายเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง,การปลูกข้าวโพดที่ใช้เมล็ดแก่,87 อาคารเอ็ม.ไทย ทาวเวอร์ ออลซีซันส์ เพลส ชั้นที่ 6-7 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,ยังดำเนินกิจการอยู่,29/4/2523,29 เมษายน 2523,245000000,"กรรมการ: นายกิตติพงษ์ ลิมปสุรัติ, นางจริยา วุฒิพงศ์วรกิจ, นายพลภัทร เหล่าจรุงเภสัชกร",,False,'027922900,,,https://www.dataforthai.com/company/0105523007276/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,,
'0105539070673,บริษัท ซาคาตะ สยาม ซีด จำกัด,"SAKATA SIAM SEED CO., LTD.",จำหน่ายเมล็ดพันธุ์,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),260 หมู่ที่ 13 ตำบลโนนท่อน อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,ยังดำเนินกิจการอยู่,26/6/2539,26 มิถุนายน 2539,162000000,"กรรมการ: นายโยชิฮิโร โอบาทาเกะ, นายเซน ทากามิย่า, นายทองพูน แสนราษฎ์, นายโคอิชิ เดมูระ, นายซึเนะฮิโระ ยาโกชิ, นายอิซาโอะ อิอุชิ",,False,'043001314,,,https://www.dataforthai.com/company/0105539070673/,,,,,,,,,
'0105563169226,บริษัท ทรัพย์ในดิน 666 จำกัด,SUBNAIDIN 666 COMPANY LIMITED,เพาะปลูกผลิตผลทางการเกษตรกรรม,การปลูกข้าวจ้าว,71 อาคารเอจีอาร์ ชั้นที่ 4 ถนนเจริญราษฎร์ แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,17/11/2563,17 พฤศจิกายน 2563,100000000,กรรมการ: นางสาวอรวรรณ พัฒนพล,,False,,,,https://www.dataforthai.com/company/0105563169226/,,,,,,,,,
'0815524000023,บริษัท ไพรสณฑ์ปาล์ม จำกัด,,ประกอบกิจการเกษตรกรรม,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),141 หมู่ที่ 2 ถนนเพชรเกษม ตำบลอ่าวลึกเหนือ อำเภออ่าวลึก จ.กระบี่ 81110,ยังดำเนินกิจการอยู่,17/9/2524,17 กันยายน 2524,30000000,"กรรมการ: นายบุญส่ง ลีลามั่นคง, นางสุรัตน์ โพธิ์วิจิตร, นายอรรถพล ลีลภัสธนพงษ์, นายผจญ ตรังพาณิชย์, นายปรีชา จารุพานิช, นายสมนึก ลีลาประศาสน์, นายวราวิทย์ ลีลาเลิศแล้ว, นายจีรศักดิ์ คุณรักษ์พงศ์, นายสราวุธ มนต์ภาณีวงศ์, นายชาญวิทย์ มนต์ภาณีวงศ์, นางสว่างจิตร์ ลีลามั่นคง, นายรัฐพล ลีลภัสธนพงษ์",,False,'075681136,,,https://www.dataforthai.com/company/0815524000023/,,,,,,,,,
'0105531018826,บริษัท สหปาล์ม ออยล์ จำกัด,"MORI FOOD PRODUCTS CO., LTD.",การเกษตรกรรมทุกชนิด และการให้บริการ,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),109 หมู่ที่ 9 ถนนสุวรรณศร ตำบลดงขี้เหล็ก อำเภอเมืองปราจีนบุรี จ.ปราจีนบุรี 25000,ยังดำเนินกิจการอยู่,16/3/2531,16 มีนาคม 2531,150000000,"กรรมการ: นางสาววรรณี จันทร์ไกรวัล, นางณัฐนี ตุ้มทอง, นางสาวลาวัลย์ มานะ",,False,,,,https://www.dataforthai.com/company/0105531018826/,,,,,,,,,
'0575554001772,บริษัท อนันต์ทรัพย์เพิ่มทวี จำกัด,"ANAN SUP PERM TAWEE CO., LTD.",การปลูกธัญพืช,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),450/23 หมู่ที่ 6 ตำบลริมกก อำเภอเมืองเชียงราย จ.เชียงราย 57100,ยังดำเนินกิจการอยู่,24/11/2554,24 พฤศจิกายน 2554,36000000,กรรมการ: นายณัฐพล ปุสสเทวะ,,False,,,,https://www.dataforthai.com/company/0575554001772/,,,,,,,,,
'0105531049608,บริษัท ทวีศักดิ์สวนยาง จำกัด,"THAVEESAK LANDING CO., LTD.",การปลูกพืชที่ให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),97/1 หมู่ที่ 8 ตำบลป่าคลอก อำเภอถลาง จ.ภูเก็ต 83110,ยังดำเนินกิจการอยู่,4/7/2531,4 กรกฎาคม 2531,104000000,"กรรมการ: นายทวีศักดิ์ อภิชาติมณีกุล, นางนภา อภิชาติมณีกุล",,False,'022780899,,,https://www.dataforthai.com/company/0105531049608/,,,,,,,,,
'0835521000081,บริษัท สวนปาล์มสหมิตร จำกัด,"UNITED OIL PALM PLATAION CO.,LTD.",สวนปาล์ม,การปลูกพืชตระกูลถั่ว,20/5 อาคารวงศ์บัณฑิต ห้องเลขที่ 2 บี ถนนโกมารภัจจ์ ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต จ.ภูเก็ต 83000,ยังดำเนินกิจการอยู่,3/5/2521,3 พฤษภาคม 2521,35000000,"กรรมการ: นายพงษ์ศักดิ์ เกิดวงศ์บัณฑิต, นางมณีรัตน์ อุปัติศฤงศิ์, นางกมลพรรณ พันธุ์โกศล",,False,'075681602,,,https://www.dataforthai.com/company/0835521000081/,,,,,,,,,
'0105555084489,บริษัท สวนปาล์มธรรมชาติ จำกัด,THE NATURAL PLANTATION COMPANY LIMITED,การปลูกพืชให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),194/16 ซอยภิรมย์ ถนนทรงวาด แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,ยังดำเนินกิจการอยู่,12/6/2555,12 มิถุนายน 2555,170000000,"กรรมการ: นายไพศาล ควรทรงธรรม, นางสาวพรทิพา ควรทรงธรรม, นายโกวิท ควรทรงธรรม, นางสาวชลธิชา ควรทรงธรรม, นางสาวจินตนา ควรทรงธรรม",,False,,,,https://www.dataforthai.com/company/0105555084489/,,,,,,,,,
'0105554088421,บริษัท ดินสู่ฟ้า จำกัด,"DINSOOFAH CO.,LTD.",การทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์,การปลูกข้าวจ้าว,4188/1 ถนนดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,5/7/2554,5 กรกฎาคม 2554,60000000,"กรรมการ: นายธเรศ คีรี, นางยุพดี คีรี, นางสาวธารินทร์ คีรี",,False,,,,https://www.dataforthai.com/company/0105554088421/,,,,,,,,,
'0125563001627,บริษัท บีแอลเอชวายสิบสี่ จำกัด,"BLHY14 CO., LTD.",ประกอบกิจการทำนา ทำสวน ทำไร่,การปลูกข้าวจ้าว,91/86 หมู่บ้าน พาทิโอ หมู่ที่ 5 ตำบลบ้านใหม่ อำเภอปากเกร็ด จ.นนทบุรี 11120,ยังดำเนินกิจการอยู่,16/1/2563,16 มกราคม 2563,50000000,"กรรมการ: นายศุภชัย บุริสตระกูล, นางสาวนิดา ตั้งวงศ์ศิริ",,False,,,,https://www.dataforthai.com/company/0125563001627/,,,,,,,,,
'0105563099589,บริษัท ป่า ดอนพุทรา จำกัด,"PA DONPHUTSA CO., LTD.",กิจกรรมสนับสนุนการผลิตพืชผล,กิจกรรมสนับสนุนการผลิตพืชผลซึ่งมิได้จัดประเภทไว้ในที่อื่น,81/1 ซอยเพชรเกษม 54 แยก 3 แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,ยังดำเนินกิจการอยู่,8/7/2563,8 กรกฎาคม 2563,260000000,"กรรมการ: นายวิวัฒน์ ทีฆคีรีกุล, นายชยุตม์ อุดมเจริญชัยกิจ",,False,'0811327219,,,https://www.dataforthai.com/company/0105563099589/,,,,,,,,,
'0115556002761,บริษัท เปรมสุข ฟาร์ม จำกัด,PREMSOOK FARM COMPANY LIMITED,ทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์เพาะปลูกและค้าพืชผลทางการเกษตรทุกชนิด,การปลูกข้าวจ้าว,168 หมู่ที่ 9 ซอยแบริ่ง 31 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10270,ยังดำเนินกิจการอยู่,1/2/2556,1 กุมภาพันธ์ 2556,100000000,"กรรมการ: นายเลิศชัย วงค์ชัยสิทธิ์, นายชนะ จึงโสภณวิทวัส, นางกมลภัทร วงค์ชัยสิทธิ์, นางสาวอริสา จึงโสภณวิทวัส",,False,,,,https://www.dataforthai.com/company/0115556002761/,,,,,,,,,
'0115559022631,บริษัท เอ็กเซล ลิฟวิ่ง หลักสี่ จำกัด,EXCEL LIVING LAKSI COMPANY LIMITED,การปลูกข้าวเจ้า,การปลูกข้าวจ้าว,95/66 หมู่บ้านกรีนวัลเลย์ หมู่ที่ 3 ถนนบางนา-ตราด กม.15 ตำบลบางโฉลง อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,19/10/2559,19 ตุลาคม 2559,51000000,"กรรมการ: นายสิงห์น้อย บุณยรักษ์, นางสาวซินเทียสุนทรี บุณยรักษ์, นางสาวซิลเวียสุธีรา บุณยรักษ์, นายอรรณพ ต้นน้ำ",,False,,,,https://www.dataforthai.com/company/0115559022631/,,,,,,,,,
'0745563006119,บริษัท เอชเอ็นที 2021 จำกัด,"HNT 2021 CO., LTD.",การปลูกข้าวจ้าว การเกษตร ทำนาข้าวเพื่อขาย,การปลูกข้าวจ้าว,99/192 หมู่ที่ 6 ตำบลพันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,4/8/2563,4 สิงหาคม 2563,50000000,กรรมการ: นายเฉลิมเกียรติ แซ่เฮ้ง,,False,,,,https://www.dataforthai.com/company/0745563006119/,,,,,,,,,
'0125544007330,บริษัท ชาเล่ย์ แอนด์ วัลเล่ย์ จำกัด,"CHALET & VALEY CO., LTD.",สวนเกษตร และ รีสอร์ท,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,14 ซอยงามวงศ์วาน 8 ถนนงามวงศ์วาน ตำบลบางเขน อำเภอเมืองนนทบุรี จ.นนทบุรี 11000,ยังดำเนินกิจการอยู่,21/8/2544,21 สิงหาคม 2544,300000000,"กรรมการ: นายวินัย วีระภุชงค์, นายสุภชัย วีระภุชงค์, นางสาวทิพย์วรรณ วีระภุชงค์, นายวโรดม วีระภุชงค์, นางสาววราภรณ์ วีระภุชงค์",,False,,,,https://www.dataforthai.com/company/0125544007330/,,,,,,,,,
'0105561050981,บริษัท นาทีแสง จำกัด,NAATEE SAENG COMPANY LIMITED,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,2 ซอยพรีเมียร์ 1 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,ยังดำเนินกิจการอยู่,20/3/2561,20 มีนาคม 2561,39900000,"กรรมการ: นายณัฐพงษ์ ศรีสุโข, นายอดิศักดิ์ ศรีสุโข, นางชฎาภรณ์ ศรีสุโข",,False,,https://www.facebook.com/naateesaeng/,,https://www.dataforthai.com/company/0105561050981/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,
'0107537001501,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,ผลิตรองเท้าและกระเป๋า,การผลิตรองเท้าอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,620/5 หมู่ที่ 11 ตำบลหนองขาม อำเภอศรีราชา จ.ชลบุรี,ยังดำเนินกิจการอยู่,12/5/2537,12 พฤษภาคม 2537,275400000,"กรรมการ: นายบุญเกียรติ โชควัฒนา, นายสมมาต ขุนเศษฐ, นายวิชิต ประยูรวิวัฒน์, นายสุจริต ปัจฉิมนันท์, พลตำรวจตรีภาณุรัตน์ มีเพียร, นายศิริพงษ์ สมบัติศิริ, นายสุรัตน์ วงศ์รัตนภัสสร, นายธนกร ตรีพลอักษร, นายธำรง ธิติประเสริฐ, นางสาวสุนทรา ฐิติวร",,False,'0384800201,http://www.panasiafootwear.com,PAF,https://www.dataforthai.com/company/0107537001501/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0105547140685,บริษัท ไม่มีอะไรที่เป็นไปไม่ได้ จำกัด,"NOTHING IS IMPOSSIBLE CO.,LTD.",การทำฟาร์มผักปลอดสารพิษ,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,8/39 อาคารเคเค ซิตี้ หมู่ที่ 9 ถนนบางบัวทอง-สุพรรณบุรี ตำบลละหาร อำเภอบางบัวทอง จ.นนทบุรี 11110,ยังดำเนินกิจการอยู่,14/10/2547,14 ตุลาคม 2547,290000000,"กรรมการ: นายกฤษณะ กฤตมโนรถ, นางตวงพร เลาหบุตร, นายกฤษณ์ กฤตมโนรถ, นายชัยวัฒน์ เจริญรุ่งโรจน์คุณ",,False,'022073093,,,https://www.dataforthai.com/company/0105547140685/,,,,,,,,,
'0105535054967,บริษัท แสงบูรพา แพลนเทชั่น จำกัด,"SANGBURAPHA PLANTATION CO., LTD.",การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,133/21-37 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,ยังดำเนินกิจการอยู่,26/3/2535,26 มีนาคม 2535,30000000,"กรรมการ: นายชินยะ วงษ์เจริญสิน, นายธีรวัจน์ วงษ์เจริญสิน, นายกิติชัย วงษ์เจริญสิน, นายมานิต วงษ์เจริญสิน",,False,,,,https://www.dataforthai.com/company/0105535054967/,,,,,,,,,
'0115562027398,บริษัท อินดิเพนเดนท์ พร็อพเพอร์ตี้ จำกัด,"INDEPENDENT PROPERTY CO., LTD.",ทำการเกษตร,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,66/62 หมู่ที่ 3 ตำบลบ้านฉาง อำเภอเมืองปทุมธานี จ.ปทุมธานี 12000,ยังดำเนินกิจการอยู่,17/10/2562,17 ตุลาคม 2562,35000000,กรรมการ: นายวีรวิน ขอไพบูลย์,,False,,,,https://www.dataforthai.com/company/0115562027398/,,,,,,,,,
'0115563024805,บริษัท เอพีไอ ไบโอโซลูชั่น จำกัด,API BIOSOLUTIONS CORPORATION LIMITED,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,899 หมู่ที่ 2 ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,ยังดำเนินกิจการอยู่,23/11/2563,23 พฤศจิกายน 2563,150000000,"กรรมการ: นายวิจิตร รัตนศิริวิไล, นายพรวิทย์ รัตนศิริวิไล",,False,,,,https://www.dataforthai.com/company/0115563024805/,,,,,,,,,
