เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่เลิก,เสร็จชำระบัญชี,วันที่ร้าง,ศาลสั่งพิทักษ์ทรัพย์,พิพากษาล้มละลาย,เว็บไซต์,"สมัครงาน / ดูตำแหน่งงานว่าง
 ดูตำแหน่งงานจาก JOBBKK"
'0105556044677,บริษัท ซีอีโอออยล์ซัพพลาย จำกัด,CEO OIL SUPPLY COMPANY LIMITED,จำหน่ายน้ำมันพืช น้ำมันปาล์มดิบ น้ำมันในเมล็ดในปาล์ม,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,88/8 หมู่ที่ 6 ตำบลคลองสี่ อำเภอคลองหลวง จ.ปทุมธานี 12120,ยังดำเนินกิจการอยู่,11/3/2556,11 มีนาคม 2556,100000000,"กรรมการ: นางภัคธนัทกันต์ รุจิศักดิ์เมธี, นายอธิศกิตติ์ รุจิศักดิ์เมธี",,False,,,,https://www.dataforthai.com/company/0105556044677/,,,,,,,,
'0735554004761,บริษัท ลี้เส็งฮวด อินเตอร์เทรด จำกัด,LEE SENG HUAT INTERTRADE COMPANY LIMITED,,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,179 หมู่ที่ 4 ตำบลทุ่งลูกนก อำเภอกำแพงแสน จ.นครปฐม 73140,ยังดำเนินกิจการอยู่,13/12/2554,13 ธันวาคม 2554,30000000,"กรรมการ: นายสิทธิพงษ์ ไพศาลจิรกิจ, นางเกศกานดา ทรัพย์ส่งแสง, นางสาวเบญจพร ลิปิพัฒนา",,False,,,,https://www.dataforthai.com/company/0735554004761/,,,,,,,,
'0225560000939,บริษัท ดาวจันท์ จำกัด,DAOCHAN COMPANY LIMITED,ประกอบธุรกิจหลัก จำหน่ายผลิตภัณฑ์ทางการเกษตร อุปกรณ์การเกษตร และเลี้ยงสัตว์ ซื้อขาย สัตว์มีชีวิต,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,159/9 หมู่ที่ 3 ตำบลปะตง อำเภอสอยดาว จ.จันทบุรี 22180,ยังดำเนินกิจการอยู่,3/7/2560,3 กรกฎาคม 2560,35000000,"กรรมการ: นายบัณฑิต สุวรรณคร, นายกิจติศักดิ์ สำราญจิตต์, นางสาวกิตติมา เลิศวิลัย",,False,,,,https://www.dataforthai.com/company/0225560000939/,,,,,,,,
'0105559056501,บริษัท แอคคิวอัว (ประเทศไทย) จำกัด,AQQUUA (THAILAND) COMPANY LIMITED,นำเข้า ส่งออก และจำหน่าย ปลาสด อาหารทะเล,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,140/36 อาคารไอทีเอฟทาวเวอร์ ชั้นที่ 17 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,4/4/2559,4 เมษายน 2559,37628000,"กรรมการ: นายนพปฎล พลเหิม, นายเบนจามิน นาทาน ไซ้เบนเบิร์ก, นายฮิโรชิ มัตซูชิตะ, นายชาร์ลส แมร์ ไซ้เบนเบิร์ก",,False,,,,https://www.dataforthai.com/company/0105559056501/,ดูตำแหน่งงานจาก JOBSDB,,,,,,,
'0225560001633,บริษัท จี้ หนง อิมพอร์ต เอ็กซ์พอร์ต จำกัด,JIE NONG IMPORT EXPORT COMPANY LIMITED,การขายส่งผักและผลไม้ (Wholesale of fruits and vegetables),การขายส่งผักและผลไม้,88/3 หมู่ที่ 6 ตำบลเขาบายศรี อำเภอท่าใหม่ จ.จันทบุรี 22120,ยังดำเนินกิจการอยู่,28/9/2560,28 กันยายน 2560,40000000,"กรรมการ: นายเติ้ง หลิน, นายมานพ ทวีอภิรดีไข่มุข",,False,,,,https://www.dataforthai.com/company/0225560001633/,,,,,,,,
'0105561206809,บริษัท พี.เอส. เบสท์ โปรดักส์ จำกัด,P.S. BEST PRODUCTS COMPANY LIMITED,ขายสินค้าเกษตร เครื่องมือเครื่องใช้ อุปกรณ์เกี่ยวกับประมง,การขายส่งเครื่องจักรอุปกรณ์และเครื่องใช้ทางการเกษตร,41 ซอยเพชรเกษม 68 แยก 34 แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,ยังดำเนินกิจการอยู่,6/12/2561,6 ธันวาคม 2561,40000000,"กรรมการ: นางสุมิตรา ผลประสิทธิ์กูล, นายบันเทิง ผลประสิทธิ์กูล, นายเจริญศักด์ ผลประสิทธิ์กูล",,False,,,,https://www.dataforthai.com/company/0105561206809/,,,,,,,,
'0163563000637,ห้างหุ้นส่วนจำกัด ลูกชาวนา ฟาร์ม (9),LUK CHAONA FARM (9) LIMITED PARTNERSHIP,ประกอบกิจการค้าสายพันธุ์สัตว์ทุกชนิด,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,222/2 หมู่ที่ 2 ตำบลเพนียด อำเภอโคกสำโรง จ.ลพบุรี 15120,ยังดำเนินกิจการอยู่,2/6/2563,2 มิถุนายน 2563,40000000,"หุ้นส่วน: นางธัญญรัตน์ ไชย์ศิริคุณากร ลงหุ้นด้วยเงิน จำนวน 39,600,000.00 บาท, นายดำรงคกิจ เตชะมิ่งวัฒนา ลงหุ้นด้วยเงิน จำนวน 100,000.00 บาท, นายเสมอ บุญอาจ ลงหุ้นด้วยเงิน จำนวน 100,000.00 บาท, นายจักรพงศ์ ไชย์ศิริคุณากร ลงหุ้นด้วยเงิน จำนวน 100,000.00 บาท, นายใจ บุญอาจ ลงหุ้นด้วยเงิน จำนวน 100,000.00 บาท",,False,,,,https://www.dataforthai.com/company/0163563000637/,,,,,,,,
'0705560001353,บริษัท พีจี อะโกร จำกัด,PG AGRO COMPANY LIMITED,ขายส่งวัตถุดิบทางการเกษตร,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,125 หมู่ที่ 7 ตำบลเบิกไพร อำเภอจอมบึง จ.ราชบุรี 70150,ยังดำเนินกิจการอยู่,29/5/2560,29 พฤษภาคม 2560,48000000,"กรรมการ: นายสมชาย นิติกาญจนา, นายสรพหล นิติกาญจนา, นางสาวสุรีย์มาศ นิติกาญจนา, นายเกน ฟูจิวาระ, นายทาคุยะ โมริ, นายดักลาส เขิง โป เล้ง",,False,,,,https://www.dataforthai.com/company/0705560001353/,,,,,,,,
'0105564063294,บริษัท จี.เค. ไบโอ เอ็กซ์แทรคชั่น จำกัด,"G.K. BIO EXTRACTION CO., LTD.",,การผลิตผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,1177 อาคารเพิร์ล แบงก์ค็อก ชั้นที่ 8 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,9/4/2564,9 เมษายน 2564,210000000,"กรรมการ: นางสาวโศภชา ดำรงปิยวุฒิ์, นายสุรณรงค์ วงศ์สรรคกร",,False,,,,https://www.dataforthai.com/company/0105564063294/,,,,,,,,
'0845565005976,บริษัท ซานมู่ อินดัสทรี (ไทยแลนด์) จำกัด,"SANMU INDUSTRY (THAILAND) CO., LTD.",ประกอบกิจการ นำเข้า ส่งออก และผลิตสินค้าทางการเกษตร ทั้งหมดรวมถึงไม้แปรรูป เฟอร์นิเจอร์,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,60 หมู่ที่ 6 ตำบลโมถ่าย อำเภอไชยา จ.สุราษฎร์ธานี 84110,ยังดำเนินกิจการอยู่,26/5/2565,26 พฤษภาคม 2565,50000000,"กรรมการ: นางสาวจิรภา เฉลิมสิทธิพงษ์, นายสง หยาง",,False,,,,https://www.dataforthai.com/company/0845565005976/,,,,,,,,
